mjd,mag,magerr
58333.4218403,13.935519,0.011490438
58337.470625,13.861348,0.011534925
58342.3880903,13.882816,0.011521689
58347.3896528,14.017484,0.011445525
58351.3433796,14.015582,0.011446515
58362.3026852,13.891843,0.01151621
58366.2980903,13.975095,0.011468176
58370.3241898,14.0063715,0.011451341
58374.3042014,13.9335165,0.011491594
58378.3683449,13.870351,0.0115293395
58382.2905556,13.866313,0.011531838
58387.3269329,14.017232,0.011445656
58387.4104167,14.023459,0.011442433
58397.2983796,13.856491,0.01153796
58426.3038542,14.005722,0.011451683
58427.2899421,14.024935,0.011441674
58430.2282407,14.051223,0.01142841
58430.2433796,14.033119,0.011437492
58434.2411343,13.943665,0.01148577
58697.4488079,13.871036,0.011528915
58701.4205208,13.844228,0.011545685
58705.4311574,13.982467,0.011464147
58709.43,14.041508,0.011433254
58713.4265509,13.9538965,0.011479969
58717.3695139,13.871944,0.011528356
58722.3869444,13.855711,0.011538448
58733.4291319,13.941915,0.011486771
58738.4121875,13.84438,0.011545586
58743.4688426,13.904693,0.0115085
58743.4806366,13.917275,0.011501052
58747.3482292,14.026624,0.011440808
58747.3925463,14.013265,0.011447723
58751.3597801,14.026479,0.011440882
58757.3482755,13.864834,0.011532756
58761.3110764,13.875548,0.0115261385
58765.3221065,13.944706,0.011485177
58765.3534606,13.940957,0.011487317
58769.2862847,14.027136,0.011440546
58769.3075231,14.015318,0.011446652
59104.4680093,13.926456,0.011495684
59184.3214699,13.943949,0.011485607
59187.2650116,14.017154,0.011445697
59190.3939699,14.069557,0.011419459
59200.1444676,13.854585,0.011539154
59203.2643171,13.899632,0.011511522
59206.1335995,13.979894,0.0114655495
59211.176794,14.01069,0.011449072
59217.1988657,13.935722,0.011490322
59220.1762731,13.867218,0.011531277
59223.2200694,13.88932,0.011517736
59226.1365625,13.9807625,0.011465076
59229.1560764,14.023172,0.011442582
59232.2355324,14.012258,0.01144825
59249.2395718,14.211229,0.01135911
59253.1346644,14.001736,0.011453793
59256.1963194,13.914189,0.0115028685
59266.1738194,13.943211,0.01148603
59270.1776042,14.053284,0.011427391
59379.446713,13.869873,0.011529634
59385.4500463,13.968882,0.011471602
59394.4072685,13.977572,0.011466818
59403.4465046,13.896538,0.011513379
59408.4067593,14.026952,0.01144064
59411.4315046,13.988539,0.011460857
59417.4065856,13.871452,0.011528659
59423.4708102,13.884988,0.011520365
59427.4091088,14.011682,0.011448552
59430.4455556,14.0512085,0.011428418
59434.3909144,13.958788,0.011477221
59438.4281366,13.858456,0.01153673
59443.4351736,13.89279,0.011515638
59446.3260532,13.978011,0.011466579
59450.4779514,14.006574,0.011451235
59453.4065972,13.979953,0.011465518
59458.3212731,13.8570385,0.011537617
59461.3435185,13.85166,0.011540992
59464.3688773,13.917046,0.0115011865
59467.3433218,13.991792,0.011459105
59470.352037,14.049323,0.011429353
59473.4136227,14.001862,0.011453726
59476.3659259,13.901509,0.011510398
59479.3184722,13.857212,0.011537508
59483.3098958,13.846892,0.0115439985
59487.3041898,13.978197,0.011466476
59491.3420833,14.007236,0.011450886
59494.3284375,13.968569,0.0114717735
59497.4042708,13.883104,0.011521514
59502.3017708,13.874518,0.01152677
59505.3217477,13.940519,0.011487567
59509.3256597,14.051531,0.011428258
59512.2471181,14.025272,0.011441501
59517.3118866,13.8956175,0.011513934
59520.3446296,13.852234,0.011540629
59523.2453241,13.883614,0.011521202
59526.2825347,14.014898,0.011446871
59529.3024421,14.00844,0.011450252
59532.3260764,13.993694,0.011458083
59538.1372222,13.868976,0.011530188
59542.2388426,13.867599,0.011531042
59550.2048843,14.057252,0.011425439
59623.1827778,13.897812,0.011512615
59738.4495255,13.866149,0.01153194
59749.4468866,14.032968,0.011437569
59761.4502778,13.85312,0.011540073
59764.445,13.907966,0.011506551
59783.445787,13.879685,0.0115236
59786.4318403,13.95514,0.011479269
59789.4334606,14.048329,0.011429845
59793.4341782,13.974181,0.011468678
59797.4507407,13.860117,0.011535692
59800.3485417,13.840577,0.011548003
59804.4279745,13.925082,0.011496484
59807.4748264,13.975222,0.011468108
59810.2625694,14.00192,0.011453695
59813.3622454,13.982568,0.011464091
59816.4036227,13.879012,0.011524013
59819.3609144,13.852845,0.011540246
59823.3853588,13.891132,0.011516639
59827.4053356,14.000899,0.011454237
59842.3421875,13.868998,0.011530175
59846.3424421,13.969314,0.011471363
59849.3612616,13.997189,0.011456213
59853.4127199,13.957761,0.011477798
59856.3717014,13.895859,0.011513788
59859.3842593,13.834171,0.011552088
59862.3492593,13.854763,0.011539043
59865.3026157,13.954907,0.0114794
59870.2826852,14.042554,0.01143273
59873.2778241,13.958891,0.011477165
59879.2212847,13.847229,0.011543786
59882.1228819,13.857844,0.011537112
59887.3232523,13.975949,0.011467707
59895.2661806,13.938535,0.011488705
59898.370081,13.874869,0.011526555
59902.2169676,13.857409,0.011537384
59905.1522801,13.922519,0.011497978
59913.3017593,14.007789,0.011450594
59933.2225116,13.990116,0.011460006
59940.304919,13.844011,0.011545822
59969.2282755,14.021258,0.011443569
