  #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
-----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1    |OGLE SMC-CEP-3489                  |cC*|015.8306569650000 -73.6634104712200|16.98    |16.86    |15.77    |     ~   |14.91    |~              |   4|   0
2    |OGLE LMC-CEP-4133                  |cC*|083.2521318463400 -66.2706166134400|     ~   |     ~   |15.342   |     ~   |14.659   |~              |   3|   0
3    |DIRECT V2879 M31D                  |cC*|010.9719307044100 +41.2127397741600|     ~   |     ~   |21.24    |20.56    |19.69    |~              |   5|   0
4    |OGLE SMC-CEP-1022                  |cC*|011.9193503393200 -73.2159990137400|     ~   |19.682   |18.825   |     ~   |17.714   |~              |   6|   0
5    |OGLE LMC-CEP-4685                  |cC*|085.4002121644500 -67.1473642297000|     ~   |     ~   |15.076   |     ~   |14.391   |~              |   3|   0
6    |OGLE LMC-CEP-1498                  |cC*|079.3987695404700 -69.2670155292400|     ~   |16.881   |16.169   |     ~   |15.408   |~              |  14|   0
7    |OGLE SMC-CEP-1660                  |cC*|012.8372118393900 -73.6769039141600|     ~   |     ~   |16.310   |     ~   |15.694   |~              |   7|   0
8    |GAPO 133                           |cC*|010.0684034395100 +40.6994491517400|     ~   |     ~   |20.38    |     ~   |19.30    |~              |   6|   0
9    |Gaia DR3 2030351785284906112       |cC*|298.5802250650600 +29.7816722631089|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
10   |OGLE LMC-CEP-3840                  |cC*|079.4805603912500 -65.7383110109100|     ~   |     ~   |17.240   |     ~   |16.598   |~              |   5|   0
11   |OGLE GD-CEP-320                    |cC*|137.2002311866700 -46.2059348364700|     ~   |     ~   |15.837   |     ~   |13.435   |~              |   4|   0
12   |UCAC4 738-091921                   |cC*|341.9319588114171 +57.5726479191931|     ~   |13.913   |12.754   |12.396   |     ~   |~              |   2|   0
13   |ATO J085.3704+33.6699              |cC*|085.3704587269638 +33.6700050828744|     ~   |14.477   |13.922   |13.951   |     ~   |~              |   4|   0
14   |OGLE SMC-CEP-3019                  |cC*|014.9042279426800 -71.8975754545000|     ~   |     ~   |16.775   |     ~   |16.185   |~              |   4|   0
15   |V* CN Cep                          |cC*|351.3949657041500 +64.7904178163700|     ~   |14.18    |     ~   |     ~   |     ~   |~              |  42|   0
16   |OGLE LMC-CEP-3404                  |cC*|072.1192736154300 -71.3327878685500|     ~   |     ~   |16.646   |     ~   |16.009   |~              |   2|   0
17   |OGLE LMC-CEP-3508                  |cC*|075.1867102918500 -65.8147240981800|     ~   |     ~   |16.795   |     ~   |16.158   |~              |   3|   0
18   |OGLE BLG-CEP-8                     |cC*|267.5810616337091 -33.2153851856531|     ~   |     ~   |17.545   |     ~   |15.519   |~              |   4|   0
19   |SV* HV 977                         |cC*|082.1551237611800 -69.6836354622600|     ~   |     ~   |15.460   |     ~   |14.653   |~              |  12|   0
20   |PSO J009.5329+40.4686              |cC*|009.53296039000 +40.46861095000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
21   |OGLE SMC-CEP-4658                  |cC*|004.5608915630400 -73.5903849322900|     ~   |     ~   |17.735   |     ~   |17.185   |~              |   2|   0
22   |OGLE LMC-CEP-3715                  |cC*|078.2723805948400 -71.8774767112400|     ~   |     ~   |15.952   |     ~   |15.263   |~              |   5|   0
23   |OGLE SMC-CEP-2777                  |cC*|014.5197603194200 -72.9960431263700|     ~   |17.227   |16.783   |     ~   |16.140   |~              |  10|   0
24   |OGLE BLG-CEP-180                   |cC*|259.54613 -30.62350                |     ~   |     ~   |     ~   |     ~   |16.744   |~              |   1|   0
25   |OGLE GD-CEP-1113                   |cC*|241.0318748507600 -54.8728882464000|     ~   |     ~   |18.433   |     ~   |15.886   |~              |   4|   0
26   |D31 J004336.3+414723.3             |cC*|010.90100447000 +41.78978477000    |     ~   |22.39    |21.60    |     ~   |20.39    |~              |   2|   0
27   |OGLE BLG-CEP-83                    |cC*|268.1038485176891 -23.3715293917497|     ~   |     ~   |20.040   |     ~   |17.136   |~              |   5|   0
28   |ZTF J204804.99+444649.7            |cC*|312.0208215046200 +44.7804997510358|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
