 #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
1   |OGLE BLG-T2CEP-394                 |WV*|262.5917741685599 -37.2163415722500|     ~   |     ~   |     ~   |     ~   |17.234   |~              |   6|   0
2   |[DHG2019] 809                      |WV*|263.55971 -32.28664                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
3   |OGLE BLG-T2CEP-729                 |WV*|267.1149408039300 -29.8468939605000|     ~   |     ~   |     ~   |     ~   |17.829   |~              |   6|   0
4   |OGLE LMC518.25.013699              |WV*|081.1711173892483 -67.3217033302133|     ~   |     ~   |17.531   |     ~   |16.658   |~              |   3|   0
5   |OGLE GD-T2CEP-118                  |WV*|250.54267 -54.87319                |     ~   |     ~   |18.374   |     ~   |16.852   |~              |   2|   0
6   |OGLE BLG-T2CEP-580                 |WV*|265.1370657674107 -27.2405023911778|     ~   |     ~   |17.972   |     ~   |14.735   |~              |   5|   0
7   |OGLE SMC-T2CEP-23                  |WV*|013.7567777630300 -73.1631725164800|     ~   |     ~   |15.990   |     ~   |15.264   |~              |  10|   0
8   |CRTS J032724.9+025542              |WV*|051.8541966718100 +02.9284873576300|     ~   |     ~   |17.00    |     ~   |     ~   |~              |   4|   0
9   |OGLE BLG-T2CEP-752                 |WV*|267.5502181244900 -37.0533684089900|     ~   |     ~   |15.754   |     ~   |13.27    |~              |   9|   0
10  |OGLE BLG-T2CEP-915                 |WV*|274.60242 -25.68475                |     ~   |     ~   |20.536   |     ~   |18.950   |~              |   5|   0
11  |[BCM2019] b333 610 89042           |WV*|266.190894 -28.992176              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
12  |[BCM2019] b333 215 55826           |WV*|266.394493 -28.938335              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
13  |[DHG2019] 1023                     |WV*|267.32583 -29.26444                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
