\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 015.8306569650000 -73.6634104712200
 083.2521318463400 -66.2706166134400
 010.9719307044100 +41.2127397741600
 011.9193503393200 -73.2159990137400
 085.4002121644500 -67.1473642297000
 079.3987695404700 -69.2670155292400
 012.8372118393900 -73.6769039141600
 010.0684034395100 +40.6994491517400
 298.5802250650600 +29.7816722631089
 079.4805603912500 -65.7383110109100
 137.2002311866700 -46.2059348364700
 341.9319588114171 +57.5726479191931
 085.3704587269638 +33.6700050828744
 014.9042279426800 -71.8975754545000
 351.3949657041500 +64.7904178163700
 072.1192736154300 -71.3327878685500
 075.1867102918500 -65.8147240981800
 267.5810616337091 -33.2153851856531
 082.1551237611800 -69.6836354622600
 009.53296039000   +40.46861095000  
 004.5608915630400 -73.5903849322900
 078.2723805948400 -71.8774767112400
 014.5197603194200 -72.9960431263700
 259.54613         -30.62350        
 241.0318748507600 -54.8728882464000
 010.90100447000   +41.78978477000  
 268.1038485176891 -23.3715293917497
 312.0208215046200 +44.7804997510358
 082.3885403090800 -69.3504540076900
 312.8769116682488 +28.2393889411483
 081.9039780053200 -69.9408268621700
 081.9282174079700 -68.6087613937700
 011.6360358155700 -73.8488597165900
 282.1234361890863 +11.6597097889156
 011.2746924510600 -73.2642414384200
 013.5698643948300 -72.6162662357900
 086.3375693628900 -68.3028393624200
 072.9554111895500 -70.9478114783100
 013.5253217881600 -72.3534899360600
 009.95550         +40.71139        
 013.4954013655700 -71.7092832036300
 016.7638431449900 -72.9852385119000
 251.7324465578400 -44.8411702681200
 164.7434468628800 -61.8717576493300
 009.99403429000   +40.70132748000  
 079.9324525266600 -69.3816201963500
 078.5799457813100 -65.4414537706300
 015.0465791508400 -72.9216483082700
 227.70408         -58.61842        
 015.9279882721700 -71.8735616888600
 024.1108874865900 -75.1254454271800
 082.5119101512200 -66.4730263283200
 241.74167         -52.15936        
 285.78863         +09.31392        
 009.8489005151300 +40.3662920471800
 295.9735276390387 +24.4061448905314
 266.49033         -29.79000        
 267.3253800676000 -18.3550815408400
 013.5363932413500 -72.7839142713700
 080.5871854983000 -69.3934236708600
 015.4269555884200 -72.9204522048000
 027.1096760102000 -74.7337559308800
 010.60386992000   +40.87327965000  
 073.0256328817000 -69.7692013110400
 080.0956963947400 -70.0425115993900
 023.4151254535700 +30.4524468128600
 290.8970783734100 +01.2000799713500
 075.2601543021900 -67.6480531071200
 014.4499008843400 -73.2039412749500
 016.4421504310100 -71.7126056100900
 257.55100         -39.35747        
 016.8878100988100 -71.0007553044800
 133.0324719241158 -47.1424129040936
 019.0905365331500 -71.4499126911900
 077.2063965806300 -68.9997329648800
 075.7489283306400 -67.1849916463300
 343.6971045331899 +57.7906491373400
 122.7055151905100 -47.6985635928700
 335.0200445611500 +56.0609112441300
 239.2129084491500 -47.2485770348200
 011.8141787363300 -73.2140019297100
 015.0187321623300 -72.7934503752700
 009.9564085015800 -74.5181531289000
 264.0224027220800 -28.1336955472700
 011.6801548666521 +42.0928601251464
 084.2650699310700 -70.0643939039400
 017.7616458377100 -72.9027844879500
 016.7984815568200 -74.1923284106000
 321.8733074581100 -71.7859761295600
 085.5897402231600 -70.2492448193000
 015.0621448344100 -73.6066723273400
 277.4720054021833 -01.1104011112144
 256.9053747093600 +34.0089948596200
 084.2365954186100 -70.1611759312900
 010.4137651339600 +40.6333412971900
 085.4483606786100 -70.2975118607300
 292.3390061022400 -07.0440728084000
 113.1527040723300 -21.9304261559800
 013.1306680474200 -73.1491394303100
 011.9736087423500 -72.6585638113900
 189.5159087552200 -38.5235098801100
 075.4766212070900 -68.0325483253500
 285.4711506668800 +44.5174041791100
 076.0002750970800 -68.6485261316200
 053.5037413133004 +53.3809253362978
 016.4481819468400 -73.2123569055700
 017.8947267102300 -72.6837673648500
 075.2586934134900 -69.3359242640100
 271.5749453969700 -29.7514288252800
 082.1523736334100 -63.8128939307100
 014.5106252807900 -71.4159119396200
 083.2456309519400 -65.6459090152900
 315.2637187616879 +49.4409155124033
 166.2446222253400 -62.0312244103500
 323.5144863990000 +53.3100959734300
 323.9447111883258 +56.7664715455119
 315.4540202775046 +47.4622341674536
 070.8368630961300 -69.2299472168200
 140.5528388120000 -53.0641298233000
 012.8462226636600 -74.9881675164200
 014.0768996527687 -73.0630793025078
 086.5927551803200 -69.9221920878400
 077.5056365719300 -65.5654474807900
